pm25,pm10,o3,temperature,humidity,wind
1,76,37,17,46,4
15,65,64,99,91,65
21,19,61,70,99,37
25,26,90,54,40,54
33,54,20,46,57,46
64,16,85,29,78,85
4,22,45,46,55,3
10,7,34,64,43,40
16,67,36,65,41,79
57,29,79,62,71,47
74,89,62,59,53,94
19,62,54,12,46,28
58,97,82,7,17,50
86,92,39,16,1,76
61,98,68,39,42,96
62,84,88,18,3,23
100,21,45,9,78,63
5,78,24,21,53,7
32,66,26,45,21,85
78,39,42,63,45,14
84,16,34,99,13,57
84,22,17,87,37,28
81,13,8,61,41,50
72,25,50,27,77,25
42,89,14,14,61,35
25,61,82,77,9,79
91,95,61,10,15,23
63,76,31,37,58,82
92,25,72,83,19,4
53,45,13,58,50,77
